,method,CCN SEARCH,n,Method_type ,method_tool
1144,NeEstimator (v2.0),Connectivity,1,,
1145,NeEstimator v2.1 software,Connectivity,1,,
1146,NeEstimator version 2.01,Connectivity,1,,
1147,NeEstimator version 2.1,Connectivity,1,,
1148,"NeEstimator, version 2.01",Connectivity,1,,
50,Network analysis,Networks,3,,
113,Network analysis,Connectivity,2,,
1155,Network change analysis,Corridors,1,,
1156,Network connectivity,Connectivity,1,,
1157,Network connectivity,Networks,1,,
1158,Network flow theory,Corridors,1,,
1161,Network structure analysis,Corridors,1,,
20,Network theory analysis,Networks,7,,
51,Network theory analysis,Connectivity,3,,
1162,Network theory analysis,Corridors,1,,
1163,Network-based Connectivity Framework,Connectivity,1,,
1164,Network-based Connectivity Framework,Networks,1,,
1166,Neural architecture search (NAS) tool of Google AutoML,Networks,1,,
1171,Non-Metric Multidimensional Scale Analysis (NMDS),Networks,1,,
1173,Non-metric multidimensional scaling (NMDS),Corridors,1,,
1172,Non-Metric Multidimensional Scaling (NMDS) analysis,Connectivity,1,,
1174,Non-metric multidimensional scaling (NMDS) clustering analysis,Networks,1,,
1175,Novoalign,Corridors,1,,
1135,NOVOPlasty v2.7.1,Networks,1,,
1176,"Nucleation techniques (litter transposition, seed rain, seed rain with drones, the installation of perches and shelters for wildlife)",Corridors,1,,
1136,NVivo 12 text analysis software,Corridors,1,,
1177,OBITtools software package,Networks,1,,
1178,Object-based image analysis (OBIA),Networks,1,,
1179,Ocean Tracking Network,Connectivity,1,,
1182,OceanParcels Lagrangian framework,Connectivity,1,,
1183,OceanParcels Lagrangian framework,Networks,1,,
1184,Oceans Act MPAs,Networks,1,,
1185,Omics tools (DNA barcoding),Networks,1,,
1193,Ordered Weighted Averaging (OWA) method,Corridors,1,,
1194,"Orfeo Toolbox vers. 8.0.0,",Corridors,1,,
1195,Organizational policy goals,Corridors,1,,
1196,Oriana,Networks,1,,
1197,Other Effective area-based Conservation Measures (OECMs),Connectivity,1,,
1198,Other Effective area-based Conservation Measures (OECMs),Corridors,1,,
1199,Other Effective area-based Conservation Measures (OECMs),Networks,1,,
1200,PA management effectiveness (PAME),Connectivity,1,,
1201,PAST 4.0,Connectivity,1,,
116,Past 4.13 software,Connectivity,2,,
117,Past 4.13 software,Corridors,2,,
1202,PAST programme (v. 3.26),Connectivity,1,,
1203,PAST programme (v. 3.26),Corridors,1,,
35,PAST software,Corridors,4,,
1213,Patch Analyst 5.2,Connectivity,1,,
1214,Pattern–process–design approach,Connectivity,1,,
1215,Pattern–process–design approach,Corridors,1,,
1204,PC-Ord® v. 5,Corridors,1,,
1216,Peak Scanner 1.0 software,Connectivity,1,,
1217,Peak Scanner 1.0 software,Networks,1,,
1205,PEDANT version 1.0,Connectivity,1,,
1222,Permanent Preservation Areas (PPAs),Corridors,1,,
1223,Permutational multivariate analysis of variance (PERMANOVA),Networks,1,,
1206,PHYLIP 3.6,Corridors,1,,
1224,Phylogenetic comparative analysis,Connectivity,1,,
1225,Picard v2.18.0,Networks,1,,
1226,Pinch point analysis,Corridors,1,,
1228,Plink v1.07 toolset,Corridors,1,,
1829,plink version 1.90,Connectivity,1,,
1229,Policy quantification analysis (PQA),Corridors,1,,
1245,Population viability analyses,Connectivity,1,,
1246,Population viability analyses (PVAs),Connectivity,1,,
1240,Population Viability Analysis (PVA),Connectivity,1,,
1247,Powerful hierarchical artificial  neural system (HANS),Networks,1,,
1208,PQA based-ESP,Corridors,1,,
1248,Precision agriculture,Connectivity,1,,
1249,Preliminary Ecological Analysis,Connectivity,1,,
1250,Pression-State-Response (PSR) analysis,Networks,1,,
1251,Prim8 behavioural software,Networks,1,,
1264,Prioritization and cost-benefit analyses,Corridors,1,,
1265,Probabilistic analysis,Corridors,1,,
1266,Probabilistic decision-support tool,Networks,1,,
1267,Probabilistic statistical tools,Networks,1,,
1268,Process-based indicator species,Corridors,1,,
1307,QIAxcel ScreenGel® software,Networks,1,,
1309,Quadratic discriminant function analysis (QDFA),Connectivity,1,,
1310,Qualtrics software (v. 12018),Networks,1,,
1377,R (asnipe package),Networks,1,,
1378,R (bayestestR package),Connectivity,1,,
1382,"R (bipartit package, plotWeb function)",Networks,1,,
1384,R (bsam package),Corridors,1,,
126,R (car package),Corridors,2,,
1317,R (CircStats package),Corridors,1,,
1385,R (comspat package),Networks,1,,
1318,R (ConnMatTools package),Connectivity,1,,
1386,R (conStruct package),Connectivity,1,,
123,R (DHARMa package),Networks,2,,
1320,R (DHARMa package),Connectivity,1,,
1390,R (dismo package),Networks,1,,
1321,R (DiveRsity package),Connectivity,1,,
1391,R (diveRsity package),Connectivity,1,,
1392,R (diveRsity package),Corridors,1,,
1322,R (ECODIST package),Connectivity,1,,
1395,R (enaR package),Networks,1,,
1323,R (ENM tool package),Connectivity,1,,
1324,R (ENM tool package),Corridors,1,,
124,R (ENMeval package),Connectivity,2,,
1326,R (ENMeval package),Corridors,1,,
1327,R (ENMeval package),Networks,1,,
1325,R (ENMTML package),Connectivity,1,,
1328,R (Entropart package),Corridors,1,,
1396,R (ergm package),Networks,1,,
1397,R (factoextra package),Connectivity,1,,
1398,R (factoextra package),Networks,1,,
1330,R (FactoMineR package),Connectivity,1,,
1399,R (forecast package),Corridors,1,,
1331,R (ForestTools package),Corridors,1,,
1329,R (FSA package),Networks,1,,
1400,R (gbm package),Connectivity,1,,
1404,R (gdm package),Connectivity,1,,
1333,R (GeNetlt package),Connectivity,1,,
1334,R (GeoR package),Corridors,1,,
1332,R (GGally package),Corridors,1,,
1410,R (ggraph package),Networks,1,,
1335,R (HabplanR package),Connectivity,1,,
1340,R (Indicspecies package),Networks,1,,
1419,R (indicspecies package),Corridors,1,,
1341,R (Intergraph package),Networks,1,,
1420,R (irr package),Networks,1,,
60,R (landscapemetrics package),Connectivity,3,,
1422,R (lavaan package),Networks,1,,
1342,R (LEA package),Connectivity,1,,
1423,R (lsmeans package),Corridors,1,,
1344,R (LULU package),Networks,1,,
1425,R (map function),Networks,1,,
1345,R (MASS package),Corridors,1,,
1426,R (metafor package),Connectivity,1,,
1350,R (Metalandsim package),Connectivity,1,,
1427,R (microclima package),Corridors,1,,
1429,R (mixdist package),Connectivity,1,,
1428,R (mixOmics package),Networks,1,,
1430,R (moments package),Corridors,1,,
1431,R (moveHMM package),Corridors,1,,
128,R (multcomp package),Corridors,2,,
1432,R (multcomp package),Networks,1,,
1352,R (MultiscaleDTM package),Networks,1,,
1433,R (mvabund package),Networks,1,,
1434,R (mvanund package),Corridors,1,,
1435,R (network package),Networks,1,,
1354,R (OUTFLANK package),Connectivity,1,,
1438,R (pegas package),Corridors,1,,
1439,R (performance package),Networks,1,,
1440,R (pheatmap package),Networks,1,,
1441,R (pls package),Connectivity,1,,
1442,R (pls package),Networks,1,,
1443,R (plsVarSel package),Connectivity,1,,
1444,R (plsVarSel package),Networks,1,,
1445,R (popdemo package),Connectivity,1,,
1355,R (PopGenReport package),Connectivity,1,,
1446,R (pophelper package),Corridors,1,,
1447,R (poppr package),Connectivity,1,,
1448,R (poppr package),Corridors,1,,
1449,R (poppr package),Networks,1,,
1356,R (ProtectEqual package),Networks,1,,
1450,R (qgraph package),Corridors,1,,
1451,R (rdaca.hp package),Networks,1,,
1452,R (rdacca.hp package),Networks,1,,
1453,R (related package),Connectivity,1,,
1454,R (reshape2 package),Networks,1,,
1360,R (ResistanceGA package),Connectivity,1,,
1456,R (rgcos package),Corridors,1,,
1357,R (R-INLA package),Connectivity,1,,
1358,R (R-INLA package),Networks,1,,
1457,R (rredlist package),Connectivity,1,,
1458,R (rredlist package),Networks,1,,
1459,R (rstanarm package),Connectivity,1,,
1361,R (SDM package),Connectivity,1,,
1460,R (sdm package),Networks,1,,
1362,R (SDMTune package),Networks,1,,
1364,R (SNPRelate package),Connectivity,1,,
1465,R (spatialEco package),Connectivity,1,,
1466,R (spatsoc package),Networks,1,,
1467,R (spdep package),Connectivity,1,,
1468,R (spdep packages),Networks,1,,
135,R (spThin package),Networks,2,,
1464,R (spThin package),Connectivity,1,,
1469,R (standardize package),Networks,1,,
1366,R (Steepness package),Networks,1,,
1473,R (stmm package),Networks,1,,
1476,R (track2KBA package),Connectivity,1,,
1477,R (trip package),Corridors,1,,
1368,R (TwoStepCLogit package),Corridors,1,,
1478,R (usdm package),Connectivity,1,,
1479,R (usdm package),Corridors,1,,
1480,R (usdm package),Networks,1,,
1370,R (VTrack package),Connectivity,1,,
1371,R (VTrack package),Networks,1,,
1485,R 3.1.1 (pROC package),Corridors,1,,
1486,R 3.2.1 (adehabitatHS package),Corridors,1,,
1487,R 3.6.3 (kuenm model),Connectivity,1,,
1488,R 4.0.1 (Circlize package),Connectivity,1,,
1489,R 4.0.1 (Circlize package),Corridors,1,,
1492,R 4.0.2 (igraph package),Networks,1,,
1495,R 4.1.0 (Biomod2 package),Connectivity,1,,
1496,R 4.1.0 (biovar package),Connectivity,1,,
1504,R 4.1.2 (dartr package),Connectivity,1,,
1505,R 4.1.2 (dartr package),Corridors,1,,
1498,R 4.1.2 (DHARMa package),Connectivity,1,,
1499,R 4.1.2 (DHARMa package),Corridors,1,,
1506,R 4.1.2 (ecodist package),Connectivity,1,,
1507,R 4.1.2 (ecodist package),Corridors,1,,
1500,R 4.1.2 (ResistanceGA package),Connectivity,1,,
1501,R 4.1.2 (ResistanceGA package),Corridors,1,,
1502,R 4.1.2 (SNPRelate package),Connectivity,1,,
1503,R 4.1.2 (SNPRelate package),Corridors,1,,
1510,R 4.1.2 (tess3r package),Connectivity,1,,
1511,R 4.1.2 (tess3r package),Corridors,1,,
1514,R 4.4.0 (avaan package package),Networks,1,,
1557,Random walk theory,Corridors,1,,
1558,RangeShifter,Corridors,1,,
1559,Raven Pro v.1.6.4,Connectivity,1,,
1540,RECOM,Connectivity,1,,
1541,RECOM,Networks,1,,
1562,Redundancy analysis (RDA),Connectivity,1,,
1563,Redundancy analysis (RDA),Corridors,1,,
1564,Redundancy analysis (RDA),Networks,1,,
1570,Resilience indicator frameworks,Connectivity,1,,
1571,Resilience indicator frameworks,Networks,1,,
1572,Resilience theory,Connectivity,1,,
1573,Resilience theory,Networks,1,,
1574,Resilience–conservation matrix,Connectivity,1,,
1575,Resilience–conservation matrix,Networks,1,,
1576,Resistance analyses,Corridors,1,,
1569,ResNet architecture,Networks,1,,
1578,Restoration and consolidation projects,Connectivity,1,,
1579,Restoration focused EB-MSP framework approach,Connectivity,1,,
1580,Retrospective analysis,Corridors,1,,
1584,River Ecosystem  Service Index (RESI) approach,Corridors,1,,
1544,RStudio (adespatial package),Connectivity,1,,
1545,RStudio (adespatial package),Networks,1,,
1548,RStudio (mdatools package),Connectivity,1,,
1549,RStudio (mdatools package),Networks,1,,
1542,RStudio (MuxViz package),Connectivity,1,,
1543,RStudio (MuxViz package),Networks,1,,
1550,RStudio (pls package),Connectivity,1,,
1551,RStudio (pls package),Networks,1,,
1552,RStudio (riverconn package),Connectivity,1,,
1553,RStudio (riverconn package),Networks,1,,
1585,SAMtools v1.7,Networks,1,,
1623,SegReg 1.7.0 program,Corridors,1,,
1625,Self-assessment tool developed by the International Union for Conservation of Nature (IUCN),Connectivity,1,,
1628,Sensitivity-specificity sum maximization approach,Connectivity,1,,
1629,SequenceMatcher software,Corridors,1,,
1630,Sequencher software v5.4.6,Connectivity,1,,
1631,Sequencher software v5.4.6,Corridors,1,,
1632,Sequencher v 4.7 software,Connectivity,1,,
1634,Shapiro–Wilk test of normality,Connectivity,1,,
1633,Shapiro-Wilk test,Networks,1,,
1586,SILP (Computer System of the State Forests),Corridors,1,,
1635,Simple Non-Iterative Clustering (SNIC) algorithm on Google Earth Engine,Corridors,1,,
1636,Simple Non-Iterative Clustering (SNIC) algorithm on Google Earth Engine,Networks,1,,
1638,"Simulation-based tools, such as individual-based models",Connectivity,1,,
1587,SISPARES framework,Networks,1,,
1588,SLiM,Networks,1,,
1589,SNAP 6.0 (Sen2Cor tool),Corridors,1,,
1590,SNAP 6.0 (Sen2Res tool),Corridors,1,,
1591,SNAP 6.0 (Sentinel-2 Toolbox),Corridors,1,,
1592,SNIC (Simple Non-Iterative Clustering) algorithm on Google Earth Engine,Connectivity,1,,
1593,SNIFFER protocol,Connectivity,1,,
1642,Social Ecological Systems Framework,Connectivity,1,,
40,Social network analysis,Networks,4,,
1643,Social network analysis,Connectivity,1,,
1644,Social network analysis (SNA),Networks,1,,
1645,Social network centrality analysis,Networks,1,,
1646,"Social network metrics (mean group size, edge density, and node degre)",Networks,1,,
1647,Socioecological theory,Networks,1,,
1648,Sonar technology,Corridors,1,,
1649,Sonic Visualiser,Networks,1,,
1594,SPAGeDi,Connectivity,1,,
1595,SPAGeDi,Networks,1,,
1650,SpAgedi v1.5,Connectivity,1,,
1651,SpAgedi v1.6,Corridors,1,,
1659,Spatial conservation prioritization tools,Connectivity,1,,
1660,Spatial design-Management strategy,Connectivity,1,,
1661,Spatial ecological modelling,Corridors,1,,
1655,Spatial Multicriteria Decision Analysis (SMCDA),Corridors,1,,
1664,Spatial network analyses,Connectivity,1,,
1665,Spatial network analyses,Networks,1,,
1666,Spatial network analysis,Connectivity,1,,
1667,Spatial network analysis,Corridors,1,,
1668,Spatial pattern analysis,Connectivity,1,,
1669,Spatial pattern analysis,Corridors,1,,
1671,Spatially-integrated assessment platforms,Connectivity,1,,
1670,Spatial-Multicriteria Decision Analysis,Corridors,1,,
1672,Spatiotemporal Analysis,Corridors,1,,
1673,Spatiotemporal analysis of entropyrelated indices of Normalized Difference Vegetation Index (NDVI) time series,Corridors,1,,
1674,Spectrograms,Networks,1,,
1675,Speed-distance calculations,Connectivity,1,,
1676,Speed-distance calculations,Networks,1,,
1600,STACKS 2.0 (CUTADAPT package),Connectivity,1,,
1601,STACKS 2.0 (SABRE package),Connectivity,1,,
1602,STACKS version 2.0,Connectivity,1,,
1681,Stacks version 2.2,Connectivity,1,,
1685,StepOnePlusTM Real-Time PCR System,Corridors,1,,
1684,Step-selection functions (SSFs),Corridors,1,,
1686,Stochastic movement simulator (SMS),Corridors,1,,
1604,STRAND software,Connectivity,1,,
1693,Structural connectivity (SC) networks,Connectivity,1,,
1694,Structural connectivity (SC) networks,Networks,1,,
1695,Structural equation modeling (SEM),Networks,1,,
1696,Structural landscape analysis,Corridors,1,,
1697,Structural landscape connectivity analysis,Corridors,1,,
1706,Structured Decision Tools Using the Logic Scoring of Preference (LSP) Method,Networks,1,,
1708,Superposition analysis,Corridors,1,,
1616,SURFER v.14,Corridors,1,,
1710,Sustainable ecotourism,Networks,1,,
1617,SWOT-ANP analysis,Networks,1,,
1711,Systematic conservation planning (SCP),Corridors,1,,
1712,Systematic conservation planning (SCP) approach,Networks,1,,
1720,Tensorflow,Networks,1,,
1714,TESS v2.3,Corridors,1,,
1836,tess3r,Connectivity,1,,
1722,The Globally-applicable areadisaggregated general ecosystem toolbox,Connectivity,1,,
1723,The Intergovernmental Platform on Biodiversity and Ecosystem Services (IPBES),Networks,1,,
1726,The meta-ecosystem framework,Connectivity,1,,
1715,THEOpt software,Corridors,1,,
1727,Threat analysis,Connectivity,1,,
1728,Threat analysis,Corridors,1,,
1729,Threat analysis,Networks,1,,
1730,"Three R’s framework (Resiliency, Redundacy, Representation)",Connectivity,1,,
1731,"Three R’s framework (Resiliency, Redundacy, Representation)",Networks,1,,
1733,Time Local Convex Hull (T-LoCoH),Networks,1,,
1734,Time–frequency localization analysis,Networks,1,,
1735,Trace element analysis of elasmobranch vertebrae,Connectivity,1,,
1736,Tracer v. 1.6,Connectivity,1,,
1716,TRACER v1.7 (Mitochondrial DNA (mtDNA) analysis),Corridors,1,,
1737,Traditional Ecological Knowledge (TEK),Connectivity,1,,
1738,Traditional Ecological Knowledge (TEK),Corridors,1,,
1739,Trait analyses,Corridors,1,,
1740,Transboundary conservation areas (TCAs),Connectivity,1,,
1741,Transfrontier wildlife corridors,Corridors,1,,
1742,Transport network,Connectivity,1,,
1743,Transport network,Networks,1,,
1744,Trends.earth,Connectivity,1,,
1745,Trends.earth,Corridors,1,,
1746,Trends.earth,Networks,1,,
1717,TWISPAN analysis,Networks,1,,
1750,UCInet,Networks,1,,
1771,Variogram analysis,Corridors,1,,
1766,VCFtools,Connectivity,1,,
1767,VCFtools program,Connectivity,1,,
1837,"version 2.0 of the eReefs hydrodynamic model for the GBR, an implementation of SHOC",Connectivity,1,,
1838,"version 2.0 of the eReefs hydrodynamic model for the GBR, an implementation of SHOC",Networks,1,,
1774,Vision Transformers (ViTs),Networks,1,,
1775,Vortex ver. 10.2.9.0,Connectivity,1,,
1768,VPA 2-Box,Connectivity,1,,
1769,VSEARCH,Networks,1,,
1776,Vulnerability and resilience (VR) analysis,Connectivity,1,,
1777,Vulnerability and resilience (VR) analysis,Corridors,1,,
1779,Water Quality Corridor Management (WQCM),Corridors,1,,
1780,Wavelet transform (WT) analysis,Networks,1,,
1781,Weir downscaling,Connectivity,1,,
1782,Weir removal,Connectivity,1,,
1778,WQCM-R priority scores,Corridors,1,,
1792,Xeno-canto,Networks,1,,
1794,Zonation,Connectivity,1,,
1795,Zonation,Corridors,1,,
143,Zonation 4.0,Connectivity,2,,
144,Zonation 4.0,Networks,2,,
1796,Zonation 4.0 software,Connectivity,1,,
